Fuel,Year,Share
Coal,1996,41.4
Coal,1997,34.1
Coal,1998,33.9
Coal,1999,28.8
Coal,2000,31.8
Coal,2001,34.2
Coal,2002,32.1
Coal,2003,34.7
Coal,2004,33.5
Coal,2005,33.8
Coal,2006,37.5
Coal,2007,34.3
Coal,2008,32.0
Coal,2009,27.4
Coal,2010,28.2
Coal,2011,29.5
Coal,2012,39.2
Coal,2013,36.4
Coal,2014,29.7
Coal,2015,22.4
Coal,2016,9.0
Coal,2017,6.7
Coal,2018,5.0
Coal,2019,2.1
Coal,2020,1.8
Coal,2021,2.2
Coal,2022,1.8
Coal,2023,1.3
Coal,2024,0.7
Oil,1996,4.3
Oil,1997,2.5
Oil,1998,2.0
Oil,1999,1.8
Oil,2000,1.7
Oil,2001,1.4
Oil,2002,1.2
Oil,2003,1.2
Oil,2004,1.2
Oil,2005,1.3
Oil,2006,1.6
Oil,2007,1.3
Oil,2008,1.7
Oil,2009,1.6
Oil,2010,1.3
Oil,2011,0.9
Oil,2012,0.8
Oil,2013,0.6
Oil,2014,0.6
Oil,2015,0.6
Oil,2016,0.6
Oil,2017,0.5
Oil,2018,0.5
Oil,2019,0.6
Oil,2020,0.5
Oil,2021,0.6
Oil,2022,0.9
Oil,2023,0.7
Oil,2024,0.6
Gas,1996,24.0
Gas,1997,31.6
Gas,1998,32.5
Gas,1999,38.8
Gas,2000,39.3
Gas,2001,36.9
Gas,2002,39.3
Gas,2003,37.4
Gas,2004,39.9
Gas,2005,38.3
Gas,2006,35.5
Gas,2007,41.8
Gas,2008,45.3
Gas,2009,44.2
Gas,2010,46.0
Gas,2011,39.8
Gas,2012,27.5
Gas,2013,26.8
Gas,2014,29.8
Gas,2015,29.5
Gas,2016,42.3
Gas,2017,40.4
Gas,2018,39.4
Gas,2019,40.7
Gas,2020,36.1
Gas,2021,39.9
Gas,2022,38.5
Gas,2023,34.6
Gas,2024,30.4
Nuclear,1996,27.0
Nuclear,1997,28.0
Nuclear,1998,27.4
Nuclear,1999,25.8
Nuclear,2000,22.6
Nuclear,2001,23.4
Nuclear,2002,22.7
Nuclear,2003,22.3
Nuclear,2004,20.3
Nuclear,2005,20.5
Nuclear,2006,19.0
Nuclear,2007,15.9
Nuclear,2008,13.5
Nuclear,2009,18.3
Nuclear,2010,16.3
Nuclear,2011,18.8
Nuclear,2012,19.4
Nuclear,2013,19.7
Nuclear,2014,18.9
Nuclear,2015,20.8
Nuclear,2016,21.2
Nuclear,2017,20.8
Nuclear,2018,19.5
Nuclear,2019,17.2
Nuclear,2020,16.2
Nuclear,2021,15.0
Nuclear,2022,14.6
Nuclear,2023,13.8
Nuclear,2024,14.2
Hydro,1996,1.0
Hydro,1997,1.2
Hydro,1998,1.4
Hydro,1999,1.5
Hydro,2000,1.4
Hydro,2001,1.1
Hydro,2002,1.2
Hydro,2003,0.8
Hydro,2004,1.2
Hydro,2005,1.2
Hydro,2006,1.2
Hydro,2007,1.3
Hydro,2008,1.3
Hydro,2009,1.4
Hydro,2010,0.9
Hydro,2011,1.6
Hydro,2012,1.5
Hydro,2013,1.3
Hydro,2014,1.7
Hydro,2015,1.9
Hydro,2016,1.6
Hydro,2017,1.7
Hydro,2018,1.6
Hydro,2019,1.8
Hydro,2020,2.2
Hydro,2021,1.8
